index,text,company,positive,negative,notr
4451,Devletten kimse kaçamayacak!: http://kobidestek.org/devletten-kimse-kacamayacak/,,,,
4452,Turkcell faturalı hat kullanıcısıyım. 284 liraya Mega+50 GB paketini kullanıyordum. 1 yıldır taahhüt biteceği gün yine aynı paketi aylık 500 liradan satın aldım. Fakat bu ay ödemem gereken miktar 284 lira olmasına rağmen fatura 500 lira geldi. Ben zaten bu ay 284 liradan kullandım. 284 liradan olan sözleşme 12 ay olmasına rağmen 11 aya düştü ve yine 500 liradan olan 12 aylık sözleşme 13 aya çıktı. Resmen bunun düzeltilmesini talep ediyorum.,Turkcell,,284 liraya Mega+50 GB paketini kullanıyordum|1 yıldır taahhüt biteceği gün yine aynı paketi aylık 500 liradan satın aldım|Fakat bu ay ödemem gereken miktar 284 lira olmasına rağmen fatura 500 lira geldi|Ben zaten bu ay 284 liradan kullandım|284 liradan olan sözleşme 12 ay olmasına rağmen 11 aya düştü ve yine 500 liradan olan 12 aylık sözleşme 13 aya çıktı|Resmen bunun düzeltilmesini talep ediyorum,
4453,Herkese iyi akşamlar  yarın sabah saat 08.00’den itibaren sizlere destek olmaya devam edeceğiz.,,,,
4454,Bu kadar saçma bir sistem görmedim. Defalarca aramamıza rağmen bir çözüm sağlanamadı. Ticari kaybımız çok yüksek. Müşteri hizmetleri her aradığımızda aciliyet bildirdiğimizde gayet rahat ve lakayıt bir şekilde 5 saat içinde sorunun çözüleceğini söylüyor. O 5 saat neden ise bir türlü gelmedi. Evimde Kablo Net'i değiştirdim  iş yerimde de değiştireceğim. Hiçbir sorunumuza çare bulamıyorsunuz.,Kablo Net,,saçma bir sistem|çözüm sağlanamadı|Ticari kaybımız çok yüksek|gayet rahat ve lakayıt bir şekilde 5 saat içinde sorunun çözüleceğini söylüyor|O 5 saat neden ise bir türlü gelmedi|Hiçbir sorunumuza çare bulamıyorsunuz,
4455,Spor yapanlar ve kalori takibi yapanlar için olmazsa olmaz.,,Spor yapanlar ve kalori takibi yapanlar için olmazsa olmaz.,,
4456,Merhabalar. Trendyol BittiBitiyor'dan 1 adet Xiaomi Redmi watch 4 akıllı saat aldı. Üründe Xiaomi Türkiye Garantisi yazıyor fakat üründe bir problem oldu. QR kod hatası veriyor ve açılmıyor. Xiaomi Türkiye ile görüştüğümüzde IMEI sorgulamasında bu IMEI Türkiye kayıtlı değil dediler. Satıcı BittiBitiyor a soruyorum ürün garantili diyor. Ama bir çözüm yok.,Xiaomi Türkiye|Xiaomi Redmi watch 4|Trendyol|BittiBitiyor,,Xiaomi Türkiye Garantisi yazıyor fakat üründe bir problem oldu|ürün garantili diyor|Ama bir çözüm yok,
4457,Cumhuriyetmh yeni semt pazarı üstü aradık şikayetlerimizi ilettik insanların mangal yapmaması çocukların ateş yakmaması konusunda önlem alınması için sonuç şimdilik bu.umarız önlem alınması ağaçlarında yanması sonrasına kalmaz... @DrHakanBahadir @BahcelievlerBel @BevlerDestek,BevlerDestek|BahcelievlerBel,,önlem alınması|mangal yapmaması|ateş yakmaması,
4458,Duracell kalitesinde değil çok çabuk bitiyor,,Duracell,çok çabuk bitiyor,kalitesinde değil
4459,Endonezya'nın Açe eyaletinde meydana gelen 8.7 büyüklüğünde ki deprem Pasifik Okyanusu'nun etrafındaki birçok ülkede hissedildi.,,,,
4460,@SetrabetDestek Kullanıcı ID:505328777 @SetrabetDestek29.000,SetrabetDestek,,,
4461,Onca yildir Vodafone musterisiyim ama taahhüt bitsin arkama bile bakmadan gideceğim @VodafoneDestek,VodafoneDestek,,taahhüt bitsin arkama bile bakmadan gideceğim,
4462,Tüm kanallar açık sadece TRT 1'de sinyal yok @DSmartDestekneden??,DSmartDestek|TRT 1,,sinyal yok,
4463,Extranet firması ile Kasım 2022 tarihinde yapmış olduğum internet hizmeti sözleşmesi ile birlikte 2 yıl boyunca fiyat artışı olmadan devam edeceğimize yönelik telefon ile taahhüt anlaşması yapılmıştır. 2022 Kasım ayında 83 TL gibi yüksek bir fiyata 2 yıl boyunca sabit olacağı düşüncesiyle ve koşuluyla kabul ettim. Ancak vergi artışları bahane edilerek  daha sözleşmenin ilk yılı bile dolmadan Eylül ayı itibariyle %75 artışla 145 TL ödeme talep ettiler. Engelli yakını olarak pahalı ödediğim sürelerin sonrasında aboneliğimin devam etmesini  ancak taahhüt edildiği fiyatlar devam edilmesini istemem rağmen istersem çıkabileceğimi ifade ettiler. (1 Eylül 2023  saat 08.40 telefon görüşmesi ) Çıkmak istemediğimi söylediğimde yeni fiyat ile ödeme yapmak zorunda bıraktılar. Vergi oranı artışının yansıtılmasını kabul ediyorum ama taahhüt edilen fiyatın artışını kabul etmiyorum.,Extranet,,taahhüt edilen fiyatın artışını kabul etmiyorum|Vergi oranı artışının yansıtılmasını kabul ediyorum,
4464,Sekabet güncel sayfasında Papara yatırım yöntemiyle para yatırdım. Otomatik Papara yatırım yöntemiyle para yatırdım. Papara hesabımdan alıcı hesaba para gitti ama para Sekabet hesabıma yatmadı. Müşteri temsilcisi E** isimli şahısla konuşmamda durumu izah ettim. Alıcı ismi  Papara IBAN bilgileri  miktarı ve işlem saati istendi  verdim. Alıcı hesabın Sekabet'e ait hesap olmadığı  bu yüzden para yatırımını gerçekleştirmedikleri söylendi. Aranmama rağmen sonuç değişmedi. Demek ki kaybetmeden de paranızı alabiliyorlar. Sekabet ve canlı destek hattından şikayetçiyim. Yatırım yaptığım hesaba geçmeyen para çok büyük değil fakat büyük yatırım yapsak dahi bu sonuçla karşılaşabilirsiniz. Uzak durmanız dileğiyle.,Sekabet|Papara,,para yatırdım. Papara hesabımdan alıcı hesaba para gitti ama para Sekabet hesabıma yatmadı|Alıcı hesabın Sekabet'e ait hesap olmadığı  bu yüzden para yatırımını gerçekleştirmedikleri söylendi|Aranmama rağmen sonuç değişmedi,
4465,10 gün hâlâ para hesaba yatmadı. @Akbank @AkbankDestek @ZiraatDestek #bddk,AkbankDestek|Akbank|ZiraatDestek,,,
4466,Paramı çekemiyorum. Payfix hesabında olan paramı çekemiyorum. Hangi bankayla denersem deneyeyim hata veriyor. Kendi içinde gönderimi var ama hesabıma çekemiyorum ve ödemem gereken acil ödemelerim var. Bunun çözüm bulması gerekli. Sadece gece saatinde bir çekim yapabildim  onu da hata verecek diye düşük bir miktar yaptım. Şimdi yine aynı sorun.,Payfix,,Paramı çekemiyorum|hata veriyor|hesabıma çekemiyorum,
4467,Teşekkürleer @drkerem @Kizilay @KizilayDestek,Kizilay|KizilayDestek|drkerem,Teşekkürleer,,
4468,bu sorun ne zaman geçer @DominosTR @DominosDestek,DominosTR|DominosDestek,,bu sorun ne zaman geçer,
4469,Dün s sport Plus uygulamasında Galatasaray'ın Şampiyonlar Ligi maçını izlemek isteyip üyelik ücreti ödeyen on binlerce insan firmanın altyapısı çöktüğü için parasını ödedikleri hizmeti alamadılar. Ben de ücreti ödemiş olmama rağmen maçı izleyemedim. Zalgiris-Galatasaray maçını sistemsel hata nedeniyle izleyemedim. Mağduriyetimin giderilmesini rica ediyorum.\n\nÜyelik no: 282637,s sport Plus,,altyapısı çöktüğü için parasını ödedikleri hizmeti alamadılar|maçı izleyemedim,
4470,Destek Yayınları'ndan çıkan en yeni kitaplar...#destekmedyagrubu @meteyarar @cyhnbzkrt @harikahuygur @rizakadilar,destekmedyagrubu|Destek Yayınları,en yeni kitaplar,,
4471,Payfix çekim işlemleri kapalı para çekemiyoruz acil ilgilenmeniz gerek bu konuyla... 6-7 banka denedim hiçbirisiyle çekim sağlayamadım. Mail attım henüz dönüş sağlanmadı. Desteğe ulaşılamıyor. Müşteri temsilcisine ulaşılamıyor. Paranın hesabıma aktarılmasını talep ediyorum.,Payfix,,çekim işlemleri kapalı|çekemiyoruz|hiçbirisiyle çekim sağlayamadım|henüz dönüş sağlanmadı|Desteğe ulaşılamıyor|Müşteri temsilcisine ulaşılamıyor,
4472,Payfix hesabımdan iki gündür para çekim yapamıyorum. Çok mağdur oldum. İhtiyaçlarımız var  yardımcı olun artık. Zor durumda kalıyoruz  ilgilenen yok. Bu nasıl kurumsal firma? Acil durumumuz oluyor ama paramızı alamıyoruz. Geri dönüş bekliyoruz.,Payfix,,para çekim yapamıyorum|mağdur oldum|Zor durumda kalıyoruz|Acil durumumuz oluyor ama paramızı alamıyoruz,
4473,Çağrı merkezinden destek alamadım diye @AkbankDestek’e yazıyorum. Beni yeniden çağrı merkezine yönlendiriyor. Müthiş hizmet!!!!,AkbankDestek,,destek alamadım|çağrı merkezinden,
4474,Sevgili Superonline yetkilileri Her ay tıkır tıkır fatura kesip ödemenizi alıyorken bana 50 mbps’e varan hız derken 20’de1 hızı kastetmiyordunuz sanırım ama ben her ay bu sıkıntıyı yaşamak zorunda değilim. ⁦@SuperYardim⁩ ⁦@Turkcell⁩,Superonline|Turkcell|SuperYardim,,tıkır tıkır fatura kesip ödemenizi alıyorken|bu sıkıntıyı yaşamak zorunda değilim,
4475,Sonu 0016 ile biten Bonus kredi kartıma  bana bilgi verilmeden 583 TL üyelik aidatı yansıtılmıştır. Aşağıda belirtilen kanun hükümleri gereği ve ekstra hiçbir şarta bağlanmaksızın bu aidatın iptal edilerek tarafıma iade edilmesini talep ediyorum. Tüketici Kanunu'nun 28 Mayıs 2014 tarihli 6502 sayılı 31. maddesinin 3. fıkrası gereğince  kart çıkaran kuruluşlar  tüketicilere yıllık üyelik aidatı ve benzeri isim altında ücret tahsil etmedikleri bir kredi kartı türü sunmak zorundadır. Ayrıca  4822 sayılı Kanun ile değişik 4077 sayılı Tüketicinin Korunması Hakkında Kanun'un sözleşmedeki haksız şartlar başlıklı 6. maddesi gereğince bankanızın almakta olduğu üyelik ücreti herhangi bir hizmet karşılığı olmadığından  söz konusu sözleşme şartı önceden hazırlanmış  özellikle standart sözleşmede yer alması nedeniyle içeriğine etki edilemeyip müzakere edilemediğinden haksız şarttır. 13. Hukuk Dairesi tarafından verilen 2011/4736 esas  2011/11579 sayılı son karara göre  söz konusu yıllık kart ücreti aidatının Borçlar Kanunu'nun 125. maddesi ve Hukuk Genel Kurulu'nun 2010/1-93-88 sayılı kararı uyarınca geriye dönük kesilen kart aidatlarının da iadesinin olacağına dair kesin hüküm bulunmaktadır. Aksi takdirde Bankalar Birliği ve Tüketici Hakem Heyeti gibi ilgili yerlere şikayet edeceğimi bildirir  bu durumun ivedilikle kurum tarafından çözüme kavuşturulmasını talep ediyorum.,Bonus,,aidatın iptal edilerek tarafıma iade edilmesini talep ediyorum|bilgi verilmeden 583 TL üyelik aidatı yansıtılmıştır,
4476,Netflix üyeliğimi kapattım ve iki ay sonra hesabımdan benim onayım olmadan farklı cihazlarla girişler yapılmış. Böyle köklü bir markaya güvenip kart bilgilerimizi giriyoruz ve aylar sonra hesaptan ücret kesiliyor. Bana ait olmayan girişler yapılıyor; bu bir güvenlik ihlali ve ben bunun peşini bırakmayacağım. Normal şartlarda defalarca telefondan onay isteyen uygulama  nasıl oluyor da benim onayım ve şifrem girilmeden kullanılıyor? Kişisel veri kullanımını hiçe saymak böyle bir şeydir.,Netflix,,benim onayım olmadan|güvenlik ihlali|Kişisel veri kullanımını hiçe saymak böyle bir şeydir,
4477,Ayıp  vallahi ayıp. Sizlere ulaşmak bu kadar zor olmasa gerek! @VakifBank @VakifBankDestek,VakifBank|VakifBankDestek,,Ayıp  vallahi ayıp|Sizlere ulaşmak bu kadar zor olmasa gerek,
4478,Beterin beteri var çorluya da gidio olabilirdim @TK_TR @TK_HelpDesk,TK_TR|TK_HelpDesk,,Beterin beteri var,
4479,Üyeliğimi 10 ay önce kapatmama rağmen tekrar açıp iki aydır farklı paketlerle ödeme çıkarıp sistemde kayıtlı olan silemediğim kartımdan bilgim olmadan çekim yapıyorlar. Bu saçmalığın derhal düzeltilmesini çekilen ücretlerin iade edilmesini istiyorum.,,,çekim yapıyorlar|kapatmama rağmen tekrar açıp|Bu saçmalığın derhal düzeltilmesini çekilen ücretlerin iade edilmesini istiyorum,
4480,PayFix'ten yaklaşık bir gündür para çekemiyorum. Bir banka olmayınca dört banka daha denedim  olmuyor. Para çekim işlemleri geçici süreliğine kapatılmıştır diyor. Gece 12'den sonrayı bekledim ama yine de bir sonuca varamadım. Yani artık çözüm bulun lütfen...,PayFix,,Para çekim işlemleri geçici süreliğine kapatılmıştır diyor|para çekemiyorum,
4481,Bugün Maximum kartımdan  Pay/Fırsat TV isimli firmadan 89 99 TL tutarında bir harcama yapıldı. Hiçbir şekilde bilgim ve onayım olmadan para çekilmiştir. Firmanın iletişim kanallarına ulaşılamıyor  telefonlara çıkılmıyor. İşlemin iptalini ve para iadesini talep ediyorum. Talebim yerine getirilmediği takdirde hukuki süreç başlatacağım,Pay/Fırsat TV|Maximum,,bilgim ve onayım olmadan para çekilmiştir|telefonlara çıkılmıyor|İletişim kanallarına ulaşılamıyor,
4482,29 Mart 2024 tarihinde Koçtaş mağazasından aldığımız 2adet tezgah defalarca gönderiyoruz demelerine rağmen 45 gündür ulaştırmadılar. Aldığımız mağzadaki mi satılmadı gelicek dedikleri ildekini mi satmadılar artık enson fabrikaya bağladılar. @KoctasDestek @Koctas kurumsallık sıfır,Koctas|KoctasDestek,,kurumsallık sıfır| ulaştırmadılar,
4483,Ödenmesi gereken kredim var bireysel hesabıma giriş yapamıyorum arıyorum karşımda muhatap bulamıyorum para ödemek için yalvarmamız mı gerekiyor. 6 tane bankayla çalışıyorum bunları ilk defa bu bankada yaşadım gerçekten şaşkınlık içerisindeyim. Bugün ödememin son günü iki gündür ulaşmaya çalışıyorum.,,,muhatap bulamıyorum|para ödemek için yalvarmamız mı gerekiyor|bireysel hesabıma giriş yapamıyorum,
4484,Lütfen acil destek ❗️❗️❗️RT yapıp yayalım lütfen.#antalya #kan #kızılay @Kizilay @KizilayDestek,Kızılay|KizilayDestek,,,
4485,Normal saplara uyumlu değil. Genelde bütun saplar çevirmeli olur bunu ise anahtar gibi sadece kendi sapına girecek şekilde geçmeli yapmışlar. Çevirmeli sanıp aldık bari boşa gitmesin diye vileda marka sap da aldım ama bu sefer de ürün kalitesiz çıktı yine boşa gitti. Islanınca incecik kalıyor ve iz bırakıyor. Hiç iyi değil.,vileda,,Normal saplara uyumlu değil|kalitesiz çıktı|boşa gitti|Hiç iyi değil,
4486,Binance Web3 üzerinden BNB ile lista ve IO aldım  10.000₺ harcadım ve satışı ya da swap yapamıyorum. İşlem yapıldı diye komisyon ücreti alınıyor  coinler BscScan'a gidiyor ama Binance'e aktaramıyorum. Bu mağduriyetimin giderilmesini talep ediyorum. Bu mağduriyetim Binance sorumluluğundadır.,Binance|BscScan,,,
4487,Şu anki firmamda çağrı merkezi olmadığı için problem yaşayınca muhatap bulamıyorum. Bu yüzden Netspeed geçiş yapmak istedim. Evrak falan istediler gönderdim. 48 saat dediler. Süre çoktan doldu. Daha başında böyle bir şey yaşamamız hiç iyi olmadı. Bizi neler bekliyor yaşayıp göreceğiz artık :/,Netspeed,,problem yaşayınca muhatap bulamıyorum,
4488,Tek benzerlik aynı çiçek olması @csdestek,csdestek,,Tek benzerlik aynı çiçek olması,
4489,Özelleştirerek yeni bir devlet kurumuna dönüştürmüşler.bu kadar sira yavaslik yazik gunah @enerjisa @enerjisadestek @TCEnerji,TCEnerji|enerjisadestek|enerjisa,,Özelleştirerek yeni bir devlet kurumuna dönüştürmüşler|yavaslik yazik gunah,
4490,22:30 a ertelediğiniz(pc2293) uçak için hala bir kalkma emaresi yok. Bunca insan kalktı uçak da boş yere mi bekliyor? Muazzam bir firma olarak hayatınıza muazzam haketmediğiniz paralar kazanarak devam etmek nasıl bir duygu? @ucurbenipegasus @pegasusdestek,ucurbenipegasus|pegasusdestek,,bir kalkma emaresi yok|boş yere mi bekliyor,
4491,Kaliteli ve şık.,,Kaliteli ve şık.,,
4492,.@YurticiKargo @YurticiDestek kargo takip sisteminiz çalışmıyor  bilginize.,YurticiDestek|YurticiKargo,,kargo takip sisteminiz çalışmıyor,
4493,İnsanoğlu tarihini kanla yazdı. Çoğu zaman nefsine yenik düştü zulmetti böbürlendi. Ancak bazıları adaleti ve vicdanıyla onlardan sıyrıldı. Ne mutlu bize ki Türk ve İslam medeniyeti böyle evlatlar yetiştirdi. İşte onlar hiç unutulmadı. @ahmetsimsirgil @ciftpelin @destekyayinlari,destekyayinlari|ciftpelin|ahmetsimsirgil,,İnsanoğlu tarihini kanla yazdı|zulmetti|böbürlendi|Ne mutlu bize ki Türk ve İslam medeniyeti böyle evlatlar yetiştirdi|hiç unutulmadı,
4494,Bağlantı hızımda sürekli yavaşlama yaşıyorum. Online işlem ekranından defalarca yazdım. Kısa süreliğine hızlandırıyorlar gibi oluyor  sonra yine bağlantı hızım yavaşlıyor. Dalga geçiliyor gibi hissediyorum. Ayrıca cayma bedelinde yüksek fiyat talep ediliyor. Yasal kılıfa büründürülmüş bir 'hizmet veriyoruz' oyunu oynanıyor. Hiç memnun değilim.,,,Bağlantı hızımda sürekli yavaşlama yaşıyorum|Dalga geçiliyor gibi hissediyorum|Hiç memnun değilim,
4495,Bu firmanın çalışma şeklinden memnun kalmadım. İptal etmek istediğinizde birçok detay istiyorlar. Hukuki yollara başvurdum.,,,memnun kalmadım,
4496,Vodafone tarifemin taahhüdü bu ay bitiyor. 181 ₺'ye kullandığım tarifenin bu aydan sonra 400 ₺'ye çıkacağı söylendi. Vodafone'un her şeyinden memnunum ama bu fiyat uygulanırsa başka bir operatöre geçiş sağlayacağım. Fiyatlarınız çok pahalı. Öğrenciyim ve interneti çok kullanan birisiyim. Bu durumda hattımı farklı bir operatöre taşımak zorundayım.,Vodafone,,Fiyatlarınız çok pahalı|başka bir operatöre geçiş sağlayacağım,
4497,Orta boy olanların altı yırtıktı bir işe yaramadı,,,bir işe yaramadı,
4498,yildim Ups. ariyorum ulasilmiyor  formu dolduruyorum dönüs yok. wp hattinizin zaten destegi yetersiz. bu sekilde nasil devam edilebilir kalsin mi paketim @UPSDestek @UPSTurkiye @UPS,UPS|UPSDestek|UPSTurkiye,,destegi yetersiz|dönüs yok|ulasilmiyor,
4499,Tlcasino sitesinden 10.200 liralık bir çekim yaptım. Çok da büyük bir miktar değildi. Yani site için küçük bir miktar. Bu yüzden %10 kesinti yapılmış ve 2 saat içinde hesabınıza tanımlanır dediler. Ama bu kesinti neden? Biraz aceleci biriyim  yani belli kesinti olduğu halde 2 saat neden bekletiyorsunuz? Zaten kazandığım ne ki  bir de bunun için bekliyorum.,Tlcasino,,2 saat içinde hesabınıza tanımlanır dediler|%10 kesinti yapılmış,
4500,Ürünün iç kapağına yazı yazılması gerekti  ama karışıklık olmuş deyip tekrar sizi zahmete sokmaya kalkıyorlar. Hani yakın olsam ona da peki  ama bu böyle olmadı. O kadar para aldınız  karışıklık deyip geri yollayın  yenisini yollayayım demek de nedir? Kesinlikle helal etmiyorum. Satıcıya ve Çiçek Sepeti'ne yakın olsam  gene karışıklığını gidermesine fırsat vermek amacıyla uğraşırdım. Ama hem yakın değilim  hem de babam memleket Artvin Şavşat'a gidecek. Babama Babalar Günü hediyesi için tercih ettim  ama karşılığına bakın ki içine yazılacak yazıyı karıştırmışlar  hiçbir şey yazmamışlar. Kesinlikle parayı hak etmiyorlar. Hakkımı helal etmiyorum.,Çiçek Sepeti,,karışıklık olmuş deyip tekrar sizi zahmete sokmaya kalkıyorlar|karışıklık deyip geri yollayın  yenisini yollayayım demek de nedir?|Kesinlikle helal etmiyorum|Hakkımı helal etmiyorum|Kesinlikle parayı hak etmiyorlar,
4501,Bravo @DSmartDestek 👏👏👏Trt1i calistiramamayi nasil beceriyorsunuz gercekten tebrikler,DSmartDestek,,Trt1i calistiramamayi nasil beceriyorsunuz,
4502,1 yıl önce beğenerek aldığımız koltuk takımı tiftiklenmeye tekrar başladı bir önceki tiftiklenme de buraya yazdığımda gayet ilgilenip gerekli işlemler yapılıp teknik ekip geldi. Ellerinde tiftik toplayıcı cihazla geldiler. Ve bu cihazdan almamızı önerdiler. Hiçbir şekilde sorunumuz çözülmedi 2 ay dolmadan tekrardan tiftikler nüksetti. Gereğini yapılmasını rica ederim.,,,tiftiklenmeye tekrar başladı|Gereğini yapılmasını rica ederim,
4503,Kronik rahatsızlığı olan öğrenciye reva gördüğünüz odaya bakın. Belki utanırsınız. Varyant için riskli gruptalar diyip kucak kucağa yatırıyorsunuz. #kykyurt #kyk @KYK_DESTEK #koü #KocaeliÜniversitesi @GSBgenclik @GSB_KYGM,KYK_DESTEK|GSBgenclik|GSB_KYGM|koü|KocaeliÜniversitesi|kykyurt|kyk,,Belki utanırsınız|Varyant için riskli gruptalar diyip kucak kucağa yatırıyorsunuz,
4504,Müşteri hizmetleri ile görüşmelerimizden sonuç alamıyorum  sizinle daha hızlı çözüme ulaşacağımızı düşünüyorum. Bugün tarifemin Red 15’e geçmesi gerekiyordu. Sabah bu konuyla ilgili iki defa müşteri hizmetleri ile görüşmeme rağmen hala tarife geçişim yapılmadı @VodafoneDestek,VodafoneDestek,,hala tarife geçişim yapılmadı,
4505,Bu akşam büyük boy süperos söylemiştik ama #azmalzemos gelmiş sanırım @DominosTR @DominosDestek,DominosTR|DominosDestek,,büyük boy süperos söylemiştik ama #azmalzemos gelmiş sanırım,
4506,@BahisOdemiyor Hırsız @SetrabetDestek,SetrabetDestek|BahisOdemiyor,Hırsız,,
4507,@selimmutlu2924 @KTDestek ?,KTDestek|selimmutlu2924,,,
4508,Hesabımdan para çekemiyorum  sesli posta hatası veriyor. 'Bu banka ile işlem yapılamıyor' yazıyor. Bayram bayram uğraştığımız işe bak  lütfen hemen düzeltin. Payfix'te de artık para çekmek bir sorun oldu. En kısa zamanda düzeltin  artık yeter. Yani 2 gündür böyle.,Payfix,,sesli posta hatası veriyor|para çekmek bir sorun oldu|Hesabımdan para çekemiyorum,
4509,Küvezdeki bebeğimin yanına  anne babasının izni ve bilgisi olmadan ziyarete gelen akrabamızın 10 günlük bebeğimin yanına girmesine izin verilmiş. Küvezde elini tutmuş ve fotoğraf çekerek paylaşmış. Bu hangi sağlık sistemine ve kuralına uygundur? Gültepe Avicenna Hastanesi'nin tarafıma dönmesini ve buna müsaade eden personeline gereken uyarıyı yapmasını bekliyorum. Fotoğrafla birlikte başhekime şikayette bulunacağım.,Gültepe Avicenna Hastanesi,,anne babasının izni ve bilgisi olmadan ziyarete gelen akrabamızın 10 günlük bebeğimin yanına girmesine izin verilmiş|Küvezde elini tutmuş ve fotoğraf çekerek paylaşmış,
4510,⚠#20Haziran #DünyaMültecilerGünü’nde  beraber yaşama kültürünün altını çiziyor ve herkesi #Geleceğinİşaretleri’ni doğru okumaya davet ediyoruz.,,,beraber yaşama kültürünün altını çiziyor|doğru okumaya davet ediyoruz,
4511,Türk Kızılay Sorgun Şubesi Bahadın Şenliğinde Çocuklara Kek ve Su Dağıtımı Yaptı. @gonulluolorg @KizilayDestek @drkerem @KizilayKurumsal @genckizilay @bahadindernegi,KizilayKurumsal|genckizilay|bahadindernegi|gonulluolorg|KizilayDestek,,,
4512,@SetrabetDestek 2-1180143955@Nare990@aysegularu @GamblerRosso @abarthy @LiptusOki @ENGIN_IZMIR@lucius19942,SetrabetDestek|Nare990|aysegularu|GamblerRosso|abarthy|LiptusOki|ENGIN_IZMIR|lucius19942,,,
4513,Abonelik işlemimi sonlandırmak istediğimi belirtmeme ve süreç başlamasına rağmen tatil  haftasonu  iş ve yemek saati demeden müşteri temsilciniz tarafından vazgeçmem için aranmak istemiyorum. İnsanları sürekli arayarak kararından vazgeçiremezsiniz @DSmartDunyasi @DSmartDestek,DSmartDunyasi|DSmartDestek,,sürekli arayarak kararından vazgeçiremezsiniz,
4514,Oris Telekom internetimiz çalışmıyor ve saatlerdir müşteri hizmetlerine ulaşamıyoruz. Ayda 200 TL alıp üstüne bir de telefonlarımızı açmıyorlar. Saatlerdir internet yok  müşteriler bekliyor ve bütün işlerimiz yarım kaldı. Normal zamanda da hız zaten çok çok kötüydü.,Oris Telekom,,internetimiz çalışmıyor|müşteri hizmetlerine ulaşamıyoruz|hız zaten çok çok kötüydü,
4515,Merhaba @KizilayDestek bana sms gondermenizi nasil engelleyebilirim?,KizilayDestek,,,
4516,@AkbankDestek CEVAHİR avm,AkbankDestek,,,
4517,16 Haziran 2024 Pazar günü saat 20.00 tarihinde Antalya/Konyaaltı Atatürk Bulvarı Popeyes'ta QR sistemini kullanarak ödeme yapıp indirimden faydalanmak istedim. Daha sonra QR kodumu okuttum ve kasadaki sistem kendisini yeniden başlattı. Bu yüzden de siparişim geçerli sayılmadı ve kasadaki kasiyer paramın provizyonda kaldığı ve 2-3 gün içinde iade edileceği söylendi ancak iade gelmedi. Daha sonra da durumu Tıkla Gelsin sistemindeki yardım merkezine anlatmaya çalıştım ancak müşteri hizmetleri adeta dalga geçer gibi yanıt bile vermedi. Ayrıca buraya gelecek paramı da işimi halledemediğim için çekmek istiyorum ancak çekemeyeceğim söylendi. Sorunların çözüme kavuşturulmasını talep ederim.,Popeyes|Tıkla Gelsin,,siparişim geçerli sayılmadı|iade gelmedi|adeta dalga geçer gibi yanıt bile vermedi,
4518,Kedim 6. Kattan düştü ve ameliyat edildi. 6 Haziranda ameliyat edildi ve 7 haziranda bize verdiler. 10 gün boyunca her gün antibiyotiğe gittik ve yemek yemediğini söylediğimiz halde bize normal deyip gönderdiler. En son 17 Haziran dikişleri alındı ve akşamına kedim çok halsiz düştü. Her yemek yemediğini söylediğimde ise lavman yaptılar. Akşam durumu anlattığımda kabızdır o yüzden getirin lavman yapalım dediler ve ben artık 4 gün üst üste lavman yaptıkları için hemen başka bir hekime götürdüm. Sabah kendileri gördüğü halde kedimi akşam diğer veteriner bana hipotermiye girdiğini yaşam fonksiyonlarını yitirdiğini sabahı göremeyeceğini söyledi ve 24 saat dolmadan kedim vefat etti. M***** H*** bu durumda bana aşağıdaki sorulara açıklık vermeli.\n1-) Biz akşam vefatından sonra kliniğe gittiğimizde neden 6 hazirandan sonra bir kayıt çıkartılmadı? \n2-) sabah neden ateşine bakılarak bize teslim edilmedi\n3-) günlerce yemek yemediğini söylediğimiz halde neden normal denildi\n4-) ameliyattan sonra neden klinikte kalarak yemek yemediğini belirttiğimiz halde B12 takviyesi yapılmadı\n5-) Neden böbrek yetmezliği olduğunu 10 gün içinde kontrol edilmeden tarafımıza normal denerek geçiştirildi\n6-) kan tahlilleri neden ameliyattan sonra yapılmadı.\nBizim gözümüz gibi baktığımız büyük ihmalkarlık yüzünden vefat etti. Ve sonucumuz maalesef ki yok. \nVicdan ile sadece baş başa bırakıyorum.,,,yemek yemediğini söylediğimiz halde bize normal deyip gönderdiler|büyük ihmalkarlık yüzünden vefat etti,
4519,Üyeliğimi iptal etmeye çalışıyorum fakat nasıl iptal edeceğimi bir türlü anlayamadım bana buradan yardımcı olursanız çok sevinirim. Vodafone yanımda uygulamasındaki kod ile 1 ay ücretsiz üyelik aldım şu an yurt dışında olduğum için herhangi bir bir borcum var mı yok mu sitenize bilemiyorum.,Vodafone,,Üyeliğimi iptal etmeye çalışıyorum fakat nasıl iptal edeceğimi bir türlü anlayamadım,
4520,Para gönderdim  mailinize de yazdım ama geri dönüş olmadı. Paramı başka bankadan gönderdiğim için sorun oldu. Mailinizden geri dönüş olmadı  param çöp oldu. Sanırım bu konuda yardım etmeniz gerekiyor. Bu nasıl bir işlemdir? Uzun süredir kullanıyorum  böyle bir şey çok üzücü.,,,param çöp oldu|yardım etmeniz gerekiyor|böyle bir şey çok üzücü,
4521,Ürün orjinal. Amazon dışında bı yerden almıyorum,Amazon,orjinal,,
